,Unnamed: 0,level_0,index,pl_name,planet_status,pl_massj,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,pl_radj,radius_error_min,radius_error_max,pl_orbper,orbital_period_error_min,orbital_period_error_max,pl_orbsmax,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,sy_vmag,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,st_mass,star_mass_error_min,star_mass_error_max,st_rad,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,st_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_tefferr1,st_tefferr2,st_tefflim,st_raderr1,st_raderr2,st_radlim,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,decstr,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,_merge,signal_percent
93,93,95,95,HAT-P-62 b,Confirmed,0.761,0.088,0.088,,,,1.073,0.029,0.029,2.6453235,3.9e-06,3.9e-06,0.03772,0.00024,0.00024,0.1,0.1,0.0,87.93,0.64,0.64,,2020.0,2020-07-15,,,,,,,,,,2457118.38979,0.00044,0.00044,,,,,,,0.25,0.084,0.064,,,,110.0,13.0,13.0,1512.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-62,74.504166667,48.301111118,,,,,,353.1,4.4,4.4,0.414,0.09,0.09,1.023,0.02,0.02,1.17,0.016,0.016,,8.1,1.1,1.1,5629.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.014447232265841329
94,94,96,96,HAT-P-63 b,Confirmed,0.614,0.024,0.024,,,,1.119,0.033,0.033,3.377728,1.3e-05,1.3e-05,0.04294,0.00035,0.00035,0.069,0.069,0.0,88.45,0.44,0.44,,2020.0,2020-07-15,,,,,,,,,,1456382.94256,0.00053,0.00053,,,,,,,0.262,0.066,0.068,,,,87.3,3.2,3.2,1237.0,11.0,11.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-63,269.570833339,5.761388913,13.7,,,,,408.0,4.0,4.0,0.251,0.061,0.061,0.925,0.023,0.023,0.9661,0.008,0.011,,9.0,1.7,1.7,5400.0,39.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.024336327258270465
95,95,97,97,HAT-P-64 b,Confirmed,0.58,0.13,0.18,,,,1.703,0.07,0.07,4.007232,1.7e-06,1.7e-06,0.05387,0.0003,0.0003,,,,88.01,0.7,0.7,,2020.0,2020-07-15,,,,,,,,,,2457751.46354,0.00063,0.00063,,,,,,,0.232,0.079,0.085,,,,62.0,18.0,18.0,1766.0,16.0,22.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-64,68.975000018,2.431388909,12.8,,,,,635.0,11.0,17.0,-0.113,0.056,0.027,1.298,0.021,0.021,1.735,0.028,0.041,,2.88,0.13,0.13,6457.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.04028353387503678
96,96,98,98,HAT-P-65 b,Confirmed,0.527,0.083,0.083,,,,1.89,0.13,0.13,2.6054552,3.1e-06,3.1e-06,0.03951,0.00054,0.00054,0.3,0.3,0.0,84.2,1.3,1.3,,2016.0,2016-09-12,,,,,,,,,,2456409.33263,0.00046,0.00046,,,,,,,0.464,0.094,0.07,,,,68.4,11.0,11.0,1930.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-65,315.904166679,11.989444469,13.15,,,,,841.0,45.0,45.0,0.1,0.08,0.08,1.212,0.05,0.05,1.86,0.01,0.01,,5.46,0.6,0.6,5835.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.057609785513524366
97,97,99,99,HAT-P-66 b,Confirmed,0.783,0.057,0.057,,,,1.59,0.1,0.16,2.972086,5.7e-06,5.7e-06,0.04363,0.00064,0.00121,0.0,,,86.2,1.8,1.8,,2016.0,2018-04-12,,,,,,,,,,2457258.79907,0.00072,0.00072,,,,,,,0.11,0.081,0.106,,,,93.5,5.7,5.7,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-66,150.573000006,53.9508611308,13.0,,,,,927.0,49.0,75.0,0.035,0.08,0.08,1.255,0.0054,0.107,1.881,0.095,0.151,,4.66,0.12,0.52,6002.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.022220474769011088
98,98,100,100,HAT-P-67 b,Confirmed,0.34,0.19,0.25,,,,2.085,0.071,0.096,4.81010205,3.3e-07,4.3e-07,0.06505,0.00079,0.00273,0.24,0.12,0.12,88.8,1.3,1.3,,2017.0,2017-02-07,172.0,43.0,31.0,,,,,,,2455961.38467,0.00064,0.00076,,,,,,,0.12,0.08,0.12,,,,52.0,52.0,0.0,1903.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-67,256.612500009,44.776944468,10.69,,,,,320.0,14.0,48.0,-0.08,0.04,0.04,1.642,0.072,0.155,1.546,0.014,0.084,F,1.24,0.22,0.27,6406.0,61.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.135360466423173
99,99,101,101,HAT-P-68 b,Confirmed,0.724,0.043,0.043,,,,1.072,0.012,0.012,2.29840551,5.2e-07,5.2e-07,0.02996,0.00012,0.00043,0.041,0.041,0.0,88.73,0.27,0.47,,2020.0,2020-11-02,,,,,,,,,,2456614.20355,0.00014,0.00014,,,,,,,0.212,0.076,0.045,,,,143.4,8.4,8.4,1028.0,8.0,8.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-68,118.733333352,23.938333356,14.0,,,,,202.0,0.97,0.97,-0.06,0.036,0.036,0.6785,0.0079,0.03,0.67,0.0032,0.0041,,11.1,0.9,1.1,4508.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.03140148021337658
100,100,102,102,HAT-P-69 b,Confirmed,3.58,0.58,0.58,,,,1.676,0.033,0.051,4.7869491,2.1e-06,1.8e-06,0.06555,0.00035,0.0007,0.0,,,87.19,0.72,0.52,,2019.0,2020-03-04,,,,,,,,,,2458495.78861,0.00073,0.00072,,,,21.2,3.6,4.6,0.366,0.05,0.06,,,,309.0,49.0,49.0,1990.0,8.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,TOI 625.01,,HAT-P-69,130.504166667,3.710555578,9.8,,,,,343.9,4.3,4.8,-0.061,0.07,0.06,1.698,0.025,0.025,1.854,0.022,0.043,,1.27,0.44,0.28,7724.0,360.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.006107083674641621
101,101,103,103,HAT-P-7 b,Confirmed,1.741,0.028,0.028,,,,1.431,0.011,0.011,2.204735471,2.4e-06,2.4e-06,0.0379,0.0004,0.0004,0.0,,,81.1,0.09,0.09,0.000118,2008.0,2020-04-20,,,,,,,,,,2454731.68039,0.00023,0.00023,,,,,,,0.497,0.001,0.001,,,,,,,2121.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,Kepler-2 b,"Al2O3, CaTiO3, TiO2",HAT-P-7,292.2458333,47.9694444,10.5,,,,,320.0,40.0,40.0,0.13,,,1.51,0.05,0.04,2.0,0.02,0.01,,2.07,0.23,0.28,6259.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.007434709692329077
102,102,104,104,HAT-P-70 b,Confirmed,6.78,6.77,0.0,,,,1.87,0.1,0.15,2.74432452,6.8e-07,7.9e-07,0.04739,0.00106,0.00031,0.0,,,96.5,0.91,1.42,,2019.0,2020-03-04,,,,,,,,,,2458495.78861,0.00073,0.00072,,,,113.1,3.4,5.1,-0.629,0.054,0.081,,,,649.0,649.0,0.0,2562.0,52.0,43.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,TOI 624.01,,HAT-P-70,74.550000004,9.998055587,9.5,,,,,329.0,6.5,6.5,-0.059,0.088,0.075,1.89,0.013,0.013,1.858,0.09,0.12,,0.6,0.2,3.8,8450.0,690.0,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.005744383785306614
103,103,105,105,HAT-P-8 b,Confirmed,1.34,0.05,0.05,,,,1.5,0.06,0.06,3.0763402,1.5e-06,1.5e-06,0.0449,0.0007,0.0007,0.0,,,87.8,0.77,0.77,0.000195,2008.0,2019-06-13,,,,,,,,,,2454437.67657,0.00034,0.00034,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-8,343.0416667,35.4472222,10.17,,,,,230.0,15.0,15.0,0.01,0.08,0.08,1.28,0.04,0.04,1.58,0.06,0.06,,3.4,1.0,1.0,6200.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.014419672578713514
104,104,106,106,HAT-P-9 b,Confirmed,0.67,0.08,0.08,,,,1.4,0.06,0.06,3.922814,2e-06,2e-06,0.053,0.002,0.002,0.0,,,86.5,0.2,0.2,0.00011,2008.0,2013-05-31,,,,,,,,,,2455292.69558,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-9,110.1666667,37.1405556,,,11.27,11.04,11.02,480.0,60.0,60.0,0.12,0.2,0.2,1.28,0.13,0.13,1.32,0.07,0.07,F,1.6,1.4,1.4,6350.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.02894594481572027
105,105,110,110,HATS-12 b,Confirmed,2.38,0.087,0.087,,,,0.692,0.042,0.042,3.142702,5.3e-05,5.3e-05,0.0441,0.0005,0.0005,0.085,0.085,0.0,82.7,1.9,1.9,,2016.0,2021-02-05,,,,,,,2457311.23876,0.00068,0.00068,2456798.9556,0.0012,0.0012,,,,,,,0.43,0.21,0.16,,,,250.6,9.4,9.4,1446.0,47.0,47.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19164857-1921212 b, EPIC 218131080 b, EPIC 218131080.01, GSC 6304-00396 b, K2-144 b, WISE J191648.57-192121.5 b",,HATS-12,289.202393,-19.355907,12.76,,11.725,11.507,,512.41,32.77,32.77,-0.1,0.04,0.04,1.16,0.04,0.04,1.17,0.07,0.07,F,2.36,0.3,0.3,6357.0,91.0,91.0,,,"2MASS J19164857-1921212, EPIC 218131080, GSC 6304-00396, K2-144, WISE J191648.57-192121.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0012941928083591045
106,106,113,113,HATS-15 b,Confirmed,2.17,0.15,0.15,,,,1.105,0.04,0.04,1.74748753,9.4e-07,9.4e-07,0.02712,0.00023,0.00023,0.0,0.0,0.126,87.13,,,,2014.0,2016-04-28,,,,,,,,,,,,,,,,,,,,,,,,,399.0,26.0,26.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,HATS-15,311.092500007,-19.4375277898,14.774,,,,,689.0,23.0,23.0,0.0,0.05,0.05,0.871,0.023,0.023,0.922,0.027,0.027,,11.0,2.0,1.4,5311.0,77.0,77.0,,,2MASS 20442207-1926150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.008801682720692766
107,107,157,157,HATS-57 b,Confirmed,3.147,0.073,0.073,,,,1.13,0.028,0.028,2.350621,1.3e-06,1.3e-06,0.03493,0.0003,0.00021,0.028,0.028,0.0,87.88,0.4,0.4,,2018.0,2018-12-20,,,,,,,,,,,,,,,,,,,0.29,0.049,0.052,,,,472.5,8.4,8.4,1413.4,9.7,9.7,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-57,60.950000016,-19.056666673,12.3,,,,,280.0,2.9,2.9,0.258,0.043,0.043,1.026,0.026,0.019,0.96,0.011,0.011,,2.5,1.1,1.5,5587.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.005662583880337446
108,108,160,160,HATS-6 b,Confirmed,0.319,0.07,0.07,,,,0.998,0.019,0.019,3.3252725,2.1e-06,2.1e-06,0.03623,0.00057,0.00042,,,,88.21,0.084,0.084,,2014.0,2015-03-17,,,,,,,,,,2456643.74058,8.4e-05,8.4e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HATS-6,88.1467500117,-19.031666679,15.2,,,,,148.4,3.3,3.3,,,,0.574,0.027,0.02,0.57,0.011,0.011,M1V,,,,3724.0,18.0,18.0,,,MASS 05523523-1901539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.05505131462476862
109,109,161,161,HATS-60 b,Confirmed,0.662,0.055,0.055,,,,1.153,0.053,0.053,3.560829,3.2e-05,3.2e-05,0.04708,0.00023,0.00015,0.191,0.191,0.0,86.28,0.35,0.35,,2018.0,2021-03-29,,,,,,,,,,2458015.72358,0.00085,0.00085,,,,,,,0.45,0.041,0.034,,,,82.6,6.9,6.9,1528.0,11.0,11.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-60,341.362500009,-14.991666693,12.6,,,,,494.7,8.2,8.2,0.334,0.02,0.02,1.1,0.016,0.01,1.46,0.27,0.27,,7.53,0.32,0.63,5690.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.013375136406318138
110,110,174,174,HATS-72 b,Confirmed,0.1254,0.0039,0.0039,,,,0.7224,0.0032,0.0032,7.3279474,1.6e-06,1.6e-06,0.066517,8.5e-05,8.5e-05,0.013,0.013,0.0,88.56,0.05,0.07,,2020.0,2020-02-17,,,,,,,,,,2458087.64782,7.5e-05,7.5e-05,,,,,,,0.153,0.023,0.17,,,,16.5,0.51,0.51,739.3,1.6,1.6,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,HATS-72,339.025000002,-17.00000002,12.7,,,,,127.66,0.52,0.52,0.099,0.014,0.014,0.7311,0.0028,0.0028,0.7214,0.0021,0.0021,,12.17,0.45,0.24,4656.1,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.03442159358009167
112,112,179,179,HD 149026 b,Confirmed,0.357,0.011,0.014,0.356,0.011,0.013,0.718,0.065,0.065,2.8758916,1.4e-06,1.4e-06,0.04288,0.00033,0.00033,0.0,,,85.3,0.8,0.8,0.000543,2005.0,2015-02-24,,,,2453317.838,0.003,0.003,,,,2454597.70713,0.00016,0.00016,,,,,,,,,,,,,54.63,11.9,11.9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 149026,247.6208333,38.3472222,8.15,,,,,78.9,6.6,6.6,0.36,0.05,0.05,1.3,0.1,0.1,1.497,0.069,0.069,G0 IV,2.0,0.8,0.8,6147.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.006529978820406034
114,114,182,182,HD 189733 b,Confirmed,1.142,0.025,0.025,1.138,0.025,0.025,1.138,0.077,0.077,2.21857312,7.6e-07,7.6e-07,0.03142,0.00052,0.00052,0.0041,0.002,0.002,85.51,0.05,0.05,0.001628,2005.0,2021-01-26,90.0,,,2454037.612,,,,,,2453988.80336,0.00024,0.00024,,,,,,,,,,,,,205.0,6.0,6.0,,,,,,0.4,0.11,0.12,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"C, CH4, CO, CO2, Fe I, H, H2O, He, K, Na, O, O I",HD 189733,300.1791667,22.7108333,7.67,,,,,19.3,0.2,0.2,-0.03,0.04,0.04,0.8,0.4,0.4,0.805,0.016,0.016,K1-K2,0.6,,,4875.0,43.0,43.0,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.019095978770779776
116,116,185,185,HD 209458 b,Confirmed,0.69,0.017,0.017,,0.017,0.017,1.38,0.018,0.018,3.52472,2.82e-05,2.82e-05,0.04747,0.00055,0.00055,0.0082,0.0082,0.0078,86.59,0.046,0.046,0.00101,1999.0,2021-04-07,43.8,68.0,68.0,2452968.399,,,,,,2453344.76824,0.000617,0.000617,,,,,,,,,,,0.021,0.021,84.3,0.88,0.88,,,,,,0.038,0.045,0.045,,Published in a refereed paper,Primary Transit,,Primary Transit,,"C, C2H2, CH4, CO, CO2, Fe, H, H2, H2O, HCN, He, K, Mg, NH3, Na, O I, O2, TiO, VO",HD 209458,330.7916667,18.8844444,7.65,,,,,47.0,,,0.02,0.05,0.05,1.148,0.022,0.022,1.203,0.061,0.061,G0 V,4.0,2.0,2.0,6092.0,103.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.031364873338271024
